,holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour,past_hour,before_work,during_work,winter,summer,autumn,misty,light_precip,heavy_precip
0,0,0,9.02,13.635,80,0,5,27,32,2011,1,1,2,0,0,0,1,0,0,0,0,0
1,0,0,9.84,14.395,75,0,3,10,13,2011,1,1,3,32,0,0,1,0,0,0,0,0
2,0,0,9.84,14.395,75,0,0,1,1,2011,1,1,4,13,0,0,1,0,0,0,0,0
3,0,0,9.84,12.88,75,6.0032,0,1,1,2011,1,1,5,1,0,0,1,0,0,1,0,0
4,0,0,9.02,13.635,80,0,2,0,2,2011,1,1,6,1,0,0,1,0,0,0,0,0
5,0,0,8.2,12.88,86,0,1,2,3,2011,1,1,7,2,0,0,1,0,0,0,0,0
6,0,0,9.84,14.395,75,0,1,7,8,2011,1,1,8,3,0,0,1,0,0,0,0,0
7,0,0,13.12,17.425,76,0,8,6,14,2011,1,1,9,8,0,0,1,0,0,0,0,0
8,0,0,15.58,19.695,76,16.9979,12,24,36,2011,1,1,10,14,0,0,1,0,0,0,0,0
9,0,0,14.76,16.665,81,19.0012,26,30,56,2011,1,1,11,36,0,0,1,0,0,0,0,0
10,0,0,17.22,21.21,77,19.0012,29,55,84,2011,1,1,12,56,0,0,1,0,0,0,0,0
11,0,0,18.86,22.725,72,19.9995,47,47,94,2011,1,1,13,84,0,0,1,0,0,1,0,0
12,0,0,18.86,22.725,72,19.0012,35,71,106,2011,1,1,14,94,0,0,1,0,0,1,0,0
13,0,0,18.04,21.97,77,19.9995,40,70,110,2011,1,1,15,106,0,0,1,0,0,1,0,0
14,0,0,17.22,21.21,82,19.9995,41,52,93,2011,1,1,16,110,0,0,1,0,0,1,0,0
15,0,0,18.04,21.97,82,19.0012,15,52,67,2011,1,1,17,93,0,0,1,0,0,1,0,0
16,0,0,17.22,21.21,88,16.9979,9,26,35,2011,1,1,18,67,0,0,1,0,0,0,1,0
17,0,0,17.22,21.21,88,16.9979,6,31,37,2011,1,1,19,35,0,0,1,0,0,0,1,0
18,0,0,16.4,20.455,87,16.9979,11,25,36,2011,1,1,20,37,0,0,1,0,0,1,0,0
19,0,0,16.4,20.455,87,12.998,3,31,34,2011,1,1,21,36,0,0,1,0,0,1,0,0
20,0,0,16.4,20.455,94,15.0013,11,17,28,2011,1,1,22,34,0,0,1,0,0,1,0,0
21,0,0,18.86,22.725,88,19.9995,15,24,39,2011,1,1,23,28,0,0,1,0,0,1,0,0
22,0,0,18.86,22.725,88,19.9995,4,13,17,2011,1,2,0,39,0,0,1,0,0,1,0,0
23,0,0,18.04,21.97,94,16.9979,1,16,17,2011,1,2,1,17,0,0,1,0,0,1,0,0
24,0,0,17.22,21.21,100,19.0012,1,8,9,2011,1,2,2,17,0,0,1,0,0,1,0,0
25,0,0,18.86,22.725,94,12.998,2,4,6,2011,1,2,3,9,0,0,1,0,0,1,0,0
26,0,0,18.86,22.725,94,12.998,2,1,3,2011,1,2,4,6,0,0,1,0,0,1,0,0
27,0,0,17.22,21.21,77,19.9995,0,2,2,2011,1,2,6,3,0,0,1,0,0,0,1,0
28,0,0,16.4,20.455,76,12.998,0,1,1,2011,1,2,7,2,0,0,1,0,0,1,0,0
29,0,0,16.4,20.455,71,15.0013,0,8,8,2011,1,2,8,1,0,0,1,0,0,0,1,0
30,0,0,15.58,19.695,76,15.0013,1,19,20,2011,1,2,9,8,0,0,1,0,0,1,0,0
31,0,0,14.76,17.425,81,15.0013,7,46,53,2011,1,2,10,20,0,0,1,0,0,1,0,0
32,0,0,14.76,16.665,71,16.9979,16,54,70,2011,1,2,11,53,0,0,1,0,0,1,0,0
33,0,0,14.76,16.665,66,19.9995,20,73,93,2011,1,2,12,70,0,0,1,0,0,1,0,0
34,0,0,14.76,17.425,66,8.9981,11,64,75,2011,1,2,13,93,0,0,1,0,0,1,0,0
35,0,0,14.76,17.425,76,12.998,4,55,59,2011,1,2,14,75,0,0,1,0,0,0,1,0
36,0,0,13.94,16.665,81,11.0014,19,55,74,2011,1,2,15,59,0,0,1,0,0,0,1,0
37,0,0,13.94,16.665,71,11.0014,9,67,76,2011,1,2,16,74,0,0,1,0,0,0,1,0
38,0,0,13.94,16.665,57,12.998,7,58,65,2011,1,2,17,76,0,0,1,0,0,0,0,0
39,0,0,14.76,16.665,46,22.0028,10,43,53,2011,1,2,18,65,0,0,1,0,0,1,0,0
40,0,0,13.12,14.395,42,30.0026,1,29,30,2011,1,2,19,53,0,0,1,0,0,0,0,0
41,0,0,12.3,13.635,39,23.9994,5,17,22,2011,1,2,20,30,0,0,1,0,0,0,0,0
42,0,0,10.66,11.365,44,22.0028,11,20,31,2011,1,2,21,22,0,0,1,0,0,0,0,0
43,0,0,9.84,10.605,44,19.9995,0,9,9,2011,1,2,22,31,0,0,1,0,0,0,0,0
44,0,0,9.02,11.365,47,11.0014,0,8,8,2011,1,2,23,9,0,0,1,0,0,0,0,0
45,0,1,9.02,9.85,44,23.9994,0,5,5,2011,1,3,0,8,0,0,1,0,0,0,0,0
46,0,1,8.2,8.335,44,27.9993,0,2,2,2011,1,3,1,5,0,0,1,0,0,0,0,0
